Kategori: Tüm kategoriler

Ay,enflasyon: (Türkiye)
2016-01,20
2016-02,8
2016-03,7
2016-04,7
2016-05,7
2016-06,7
2016-07,10
2016-08,5
2016-09,6
2016-10,7
2016-11,8
2016-12,12
2017-01,18
2017-02,9
2017-03,11
2017-04,11
2017-05,14
2017-06,20
2017-07,14
2017-08,7
2017-09,7
2017-10,10
2017-11,17
2017-12,26
2018-01,24
2018-02,11
2018-03,13
2018-04,13
2018-05,20
2018-06,29
2018-07,35
2018-08,24
2018-09,36
2018-10,67
2018-11,58
2018-12,68
2019-01,57
2019-02,23
2019-03,23
2019-04,22
2019-05,25
2019-06,29
2019-07,29
2019-08,18
2019-09,19
2019-10,24
2019-11,25
2019-12,31
2020-01,30
2020-02,14
2020-03,12
2020-04,13
2020-05,18
2020-06,27
2020-07,25
2020-08,14
2020-09,17
2020-10,19
2020-11,26
2020-12,47
2021-01,35
2021-02,17
2021-03,20
2021-04,23
2021-05,26
2021-06,34
2021-07,36
2021-08,23
2021-09,26
2021-10,34
2021-11,62
2021-12,92
2022-01,100
